region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA26490,3176,132,98,14,0,3420,3250,75,48,4,7,3384,821,139,145,8,0,1113,38,11,9,0,0,58,561,39,68,6,0,674,12,0,15,0,0,27,54,0,5,3,0,62,61,3,7,0,0,71,1547,192,249,17,0,2005,36,13,7,3,0,59,158,8,21,3,0,190,8167,420,423,41,7,9058
LGA26610,2570,39,90,53,4,2756,2131,26,41,13,0,2211,556,59,251,9,3,878,268,23,99,0,0,390,450,23,52,10,0,535,57,12,6,0,0,75,188,10,7,54,4,263,84,5,3,6,0,98,1603,132,418,79,7,2239,45,5,0,0,0,50,229,11,29,37,0,306,6578,213,578,182,11,7562
LGA26670,1044,8,3,15,0,1070,678,6,0,5,0,689,114,10,7,0,0,131,18,5,3,0,0,26,209,4,3,8,0,224,0,0,0,0,0,0,46,0,0,4,0,50,38,0,0,0,0,38,425,19,13,12,0,469,20,0,0,0,0,20,68,3,4,3,0,78,2235,36,20,35,0,2326
LGA26700,4026,64,119,37,5,4251,3507,36,48,17,0,3608,666,94,256,4,0,1020,259,96,75,0,0,430,512,29,94,19,0,654,34,23,25,0,0,82,72,0,15,19,0,106,71,4,11,3,0,89,1614,246,476,45,0,2381,84,5,5,0,0,94,235,22,41,3,0,301,9466,373,689,102,5,10635
LGA26730,3825,191,178,25,0,4219,3445,94,120,18,0,3677,1185,236,537,7,0,1965,430,65,183,3,0,681,574,69,128,20,0,791,27,3,35,0,0,65,51,13,23,7,0,94,55,3,11,4,0,73,2322,389,917,41,0,3669,54,18,58,0,0,130,214,25,70,8,0,317,9860,717,1343,92,0,12012
LGA26810,5891,119,107,69,0,6186,5166,68,47,17,3,5301,1290,199,244,10,0,1743,329,64,77,0,0,470,731,34,28,18,3,814,48,19,8,4,0,79,282,22,9,21,0,334,131,3,13,3,0,150,2811,341,379,56,3,3590,95,46,8,0,0,149,376,35,24,5,0,440,14339,609,565,147,6,15666
LGA26890,940,3,7,9,0,959,393,0,0,3,0,396,22,3,10,0,0,35,4,0,14,0,0,18,123,0,5,3,0,131,9,0,5,0,0,14,67,0,0,0,0,67,51,0,5,0,0,56,276,3,39,3,0,321,28,0,3,0,0,31,46,0,0,3,0,49,1683,6,49,18,0,1756
LGA26980,18580,2368,1242,5,0,22195,14991,2006,914,10,5,17926,4281,2228,1761,15,5,8290,512,370,235,0,0,1117,1929,626,457,14,6,3032,116,94,133,0,4,347,146,58,77,3,0,284,179,59,60,0,0,298,7163,3435,2723,32,15,13368,213,264,169,0,0,646,886,234,215,3,0,1338,41833,8307,5263,50,20,55473
LGA27070,15591,509,430,14,5,16549,20476,1282,364,7,0,22129,4896,950,815,11,3,6675,524,64,89,0,0,677,1619,143,142,7,0,1911,61,25,13,0,0,99,280,25,23,0,0,328,172,19,10,0,0,201,7552,1226,1092,18,3,9891,224,13,47,0,0,284,1226,64,81,0,0,1371,45069,3094,2014,39,8,50224
LGA27170,3102,145,178,24,3,3452,4476,145,142,3,0,4766,1606,383,525,0,0,2514,613,203,180,0,0,996,508,72,90,11,0,681,37,15,5,0,0,57,269,14,13,12,0,308,38,25,11,0,0,74,3071,712,824,23,0,4630,57,3,4,0,0,64,230,31,38,8,0,307,10936,1036,1186,58,3,13219
LGA27260,10558,488,312,64,3,11425,25145,1093,430,6,4,26678,7799,936,997,5,0,9737,484,43,95,0,0,622,1937,163,172,13,3,2288,97,14,19,0,0,130,289,19,15,39,0,362,133,11,20,0,0,164,10739,1186,1318,57,3,13303,193,73,42,0,0,308,911,90,76,9,0,1086,47546,2930,2178,136,10,52800
LGA27350,2417,3160,952,34,3,6566,1989,3390,1965,27,6,7377,1302,3634,4333,76,9,9354,94,668,2578,0,0,3340,590,1326,851,54,4,2825,38,84,118,4,0,244,22,62,43,6,6,139,36,74,80,4,0,194,2082,5848,8003,144,19,16096,34,88,67,10,0,199,132,242,345,3,0,722,6654,12728,11332,218,28,30960
LGA27450,16164,625,404,116,3,17312,23558,568,342,31,3,24502,3269,295,534,16,0,4114,289,40,139,0,0,468,1882,82,165,26,3,2158,96,52,37,0,0,185,198,0,11,59,0,268,192,10,17,7,0,226,5926,479,903,108,3,7419,264,76,70,4,3,417,883,62,71,10,3,1029,46795,1810,1790,269,15,50679
LGA27630,1551,4,4,13,0,1572,653,8,0,3,0,664,139,3,9,0,0,151,27,4,6,0,0,37,169,4,5,0,0,178,11,5,5,0,0,21,56,0,0,0,0,56,39,3,3,0,0,45,441,19,28,0,0,488,21,5,0,3,0,29,94,4,0,0,0,98,2760,40,32,19,0,2851
LGA29399,33,0,19,0,0,52,16,0,11,0,0,27,0,0,6,0,0,6,0,0,4,0,0,4,0,4,5,0,0,9,0,0,0,0,0,0,0,3,12,0,6,21,0,0,3,0,0,3,0,7,30,0,6,43,0,3,0,0,0,3,0,0,3,0,0,3,49,10,63,0,6,128
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
